Timestamp,xAxis,yAxis,zAxis
1715609501.3774729,351,390,308
1715609501.3774729,343,395,320
1715609501.3774729,331,397,330
1715609501.3814745,328,397,334
1715609501.3814745,335,394,322
1715609501.3824732,348,391,311
1715609501.3824732,351,390,308
1715609501.3854735,343,394,320
1715609501.3854735,332,396,330
1715609501.386473,328,397,333
1715609501.386473,335,394,323
1715609501.3899724,348,390,313
1715609501.3899724,351,390,309
1715609501.3899724,344,394,320
1715609501.3939745,332,396,330
1715609501.3939745,328,397,334
1715609501.3939745,335,393,324
1715609501.3939745,347,391,312
1715609501.3974998,351,390,309
1715609501.398489,344,394,319
1715609501.398489,332,397,329
1715609501.398489,328,397,333
1715609501.4024875,334,394,324
1715609501.4024875,347,391,311
1715609501.4024875,351,390,308
1715609501.4054878,344,394,319
1715609501.4064875,332,396,329
1715609501.4064875,328,397,334
1715609501.4069922,334,394,325
1715609501.4099975,346,390,313
1715609501.4099975,351,390,309
1715609501.4109993,344,393,318
1715609501.4109993,333,396,330
1715609501.4140148,328,397,334
1715609501.4150012,334,394,326
1715609501.4150012,346,391,312
1715609501.4150012,351,390,309
1715609501.4185197,345,393,318
1715609501.4185197,333,396,329
1715609501.4185197,328,397,333
1715609501.4225178,334,394,326
1715609501.4225178,345,391,312
1715609501.4225178,352,391,309
1715609501.4225178,345,393,317
1715609501.426518,334,397,329
1715609501.426518,328,398,334
1715609501.426518,333,395,325
1715609501.4276595,345,392,313
1715609501.430657,352,390,308
1715609501.430657,345,393,317
1715609501.4316566,334,396,329
1715609501.4346573,328,397,334
1715609501.4346573,333,394,327
1715609501.4346573,345,391,312
1715609501.4346573,352,390,308
1715609501.43917,346,393,316
1715609501.43917,335,396,328
1715609501.43917,328,397,333
1715609501.43917,333,395,326
1715609501.4431715,344,391,313
1715609501.4431715,352,390,309
1715609501.4431715,346,393,316
1715609501.4441745,335,396,329
1715609501.4461706,327,397,333
1715609501.4475858,332,395,326
1715609501.4475858,344,391,313
1715609501.4505866,351,390,309
1715609501.4515867,346,392,315
1715609501.4515867,335,396,329
1715609501.4515867,327,397,334
1715609501.454614,332,394,327
1715609501.454614,344,391,314
